Port of Entry,Type of Visit,Origin,Month,Number of Visitors
NMIA,BUSV,BRITISH VIRGIN ISLANDS,MAY,0.0
NMIA,BUSV,BRITISH VIRGIN ISLANDS,JUNE,0.0
NMIA,BUSV,BRITISH VIRGIN ISLANDS,JULY,0.0
NMIA,BUSV,BRITISH VIRGIN ISLANDS,AUGUST,1.0
NMIA,BUSV,BRITISH VIRGIN ISLANDS,SEPTEMBER,0.0
NMIA,BUSV,BRITISH VIRGIN ISLANDS,OCTOBER,0.0
NMIA,BUSV,BRITISH VIRGIN ISLANDS,NOVEMBER,0.0
NMIA,BUSV,BRITISH VIRGIN ISLANDS,DECEMBER,0.0
NMIA,BUSV,CANADA,JANUARY,11.0
NMIA,BUSV,CANADA,FEBRUARY,13.0
NMIA,BUSV,CANADA,MARCH,13.0
NMIA,BUSV,CANADA,APRIL,8.0
NMIA,BUSV,CANADA,MAY,16.0
NMIA,BUSV,CANADA,JUNE,1.0
NMIA,BUSV,CANADA,JULY,2.0
NMIA,BUSV,CANADA,AUGUST,2.0
NMIA,BUSV,CANADA,SEPTEMBER,0.0
NMIA,BUSV,CANADA,OCTOBER,1.0
NMIA,BUSV,CANADA,NOVEMBER,0.0
NMIA,BUSV,CANADA,DECEMBER,0.0
NMIA,BUSV,CAYMAN ISLANDS,JANUARY,3.0
NMIA,BUSV,CAYMAN ISLANDS,FEBRUARY,5.0
NMIA,BUSV,CAYMAN ISLANDS,MARCH,8.0
NMIA,BUSV,CAYMAN ISLANDS,APRIL,7.0
NMIA,BUSV,CAYMAN ISLANDS,MAY,3.0
NMIA,BUSV,CAYMAN ISLANDS,JUNE,0.0
NMIA,BUSV,CAYMAN ISLANDS,JULY,0.0
NMIA,BUSV,CAYMAN ISLANDS,AUGUST,0.0
NMIA,BUSV,CAYMAN ISLANDS,SEPTEMBER,0.0
NMIA,BUSV,CAYMAN ISLANDS,OCTOBER,0.0
NMIA,BUSV,CAYMAN ISLANDS,NOVEMBER,0.0
NMIA,BUSV,CAYMAN ISLANDS,DECEMBER,0.0
NMIA,BUSV,CHILE,JANUARY,0.0
NMIA,BUSV,CHILE,FEBRUARY,0.0
NMIA,BUSV,CHILE,MARCH,0.0
NMIA,BUSV,CHILE,APRIL,0.0
NMIA,BUSV,CHILE,MAY,0.0
NMIA,BUSV,CHILE,JUNE,0.0
NMIA,BUSV,CHILE,JULY,0.0
NMIA,BUSV,CHILE,AUGUST,1.0
NMIA,BUSV,CHILE,SEPTEMBER,0.0
NMIA,BUSV,CHILE,OCTOBER,0.0
NMIA,BUSV,CHILE,NOVEMBER,0.0
NMIA,BUSV,CHILE,DECEMBER,0.0
NMIA,BUSV,CHINA,JANUARY,1.0
NMIA,BUSV,CHINA,FEBRUARY,2.0
NMIA,BUSV,CHINA,MARCH,0.0
NMIA,BUSV,CHINA,APRIL,1.0
NMIA,BUSV,CHINA,MAY,0.0
NMIA,BUSV,CHINA,JUNE,0.0
NMIA,BUSV,CHINA,JULY,0.0
NMIA,BUSV,CHINA,AUGUST,1.0
NMIA,BUSV,CHINA,SEPTEMBER,0.0
NMIA,BUSV,CHINA,OCTOBER,0.0
NMIA,BUSV,CHINA,NOVEMBER,0.0
NMIA,BUSV,CHINA,DECEMBER,0.0
NMIA,BUSV,COLOMBIA,JANUARY,0.0
NMIA,BUSV,COLOMBIA,FEBRUARY,2.0
NMIA,BUSV,COLOMBIA,MARCH,0.0
NMIA,BUSV,COLOMBIA,APRIL,0.0
NMIA,BUSV,COLOMBIA,MAY,0.0
NMIA,BUSV,COLOMBIA,JUNE,0.0
NMIA,BUSV,COLOMBIA,JULY,0.0
NMIA,BUSV,COLOMBIA,AUGUST,0.0
NMIA,BUSV,COLOMBIA,SEPTEMBER,0.0
NMIA,BUSV,COLOMBIA,OCTOBER,0.0
NMIA,BUSV,COLOMBIA,NOVEMBER,0.0
NMIA,BUSV,COLOMBIA,DECEMBER,0.0
NMIA,BUSV,COSTA RICA,JANUARY,0.0
NMIA,BUSV,COSTA RICA,FEBRUARY,1.0
NMIA,BUSV,COSTA RICA,MARCH,0.0
NMIA,BUSV,COSTA RICA,APRIL,0.0
NMIA,BUSV,COSTA RICA,MAY,0.0
NMIA,BUSV,COSTA RICA,JUNE,0.0
NMIA,BUSV,COSTA RICA,JULY,0.0
NMIA,BUSV,COSTA RICA,AUGUST,0.0
NMIA,BUSV,COSTA RICA,SEPTEMBER,0.0
NMIA,BUSV,COSTA RICA,OCTOBER,0.0
NMIA,BUSV,COSTA RICA,NOVEMBER,0.0
NMIA,BUSV,COSTA RICA,DECEMBER,0.0
NMIA,BUSV,CUBA,JANUARY,1.0
NMIA,BUSV,CUBA,FEBRUARY,0.0
NMIA,BUSV,CUBA,MARCH,0.0
NMIA,BUSV,CUBA,APRIL,0.0
NMIA,BUSV,CUBA,MAY,0.0
NMIA,BUSV,CUBA,JUNE,0.0
NMIA,BUSV,CUBA,JULY,0.0
NMIA,BUSV,CUBA,AUGUST,0.0
NMIA,BUSV,CUBA,SEPTEMBER,0.0
NMIA,BUSV,CUBA,OCTOBER,0.0
NMIA,BUSV,CUBA,NOVEMBER,0.0
NMIA,BUSV,CUBA,DECEMBER,0.0
NMIA,BUSV,CURACAO,JANUARY,0.0
NMIA,BUSV,CURACAO,FEBRUARY,0.0
NMIA,BUSV,CURACAO,MARCH,1.0
NMIA,BUSV,CURACAO,APRIL,0.0
NMIA,BUSV,CURACAO,MAY,0.0
NMIA,BUSV,CURACAO,JUNE,0.0
NMIA,BUSV,CURACAO,JULY,0.0
NMIA,BUSV,CURACAO,AUGUST,0.0
NMIA,BUSV,CURACAO,SEPTEMBER,0.0
NMIA,BUSV,CURACAO,OCTOBER,0.0
NMIA,BUSV,CURACAO,NOVEMBER,0.0
NMIA,BUSV,CURACAO,DECEMBER,0.0
NMIA,BUSV,DENMARK,JANUARY,0.0
NMIA,BUSV,DENMARK,FEBRUARY,0.0
NMIA,BUSV,DENMARK,MARCH,1.0
NMIA,BUSV,DENMARK,APRIL,0.0
NMIA,BUSV,DENMARK,MAY,0.0
NMIA,BUSV,DENMARK,JUNE,0.0
NMIA,BUSV,DENMARK,JULY,0.0
NMIA,BUSV,DENMARK,AUGUST,0.0
NMIA,BUSV,DENMARK,SEPTEMBER,0.0
NMIA,BUSV,DENMARK,OCTOBER,0.0
NMIA,BUSV,DENMARK,NOVEMBER,0.0
NMIA,BUSV,DENMARK,DECEMBER,0.0
NMIA,BUSV,DOMINICA,JANUARY,1.0
NMIA,BUSV,DOMINICA,FEBRUARY,0.0
NMIA,BUSV,DOMINICA,MARCH,0.0
NMIA,BUSV,DOMINICA,APRIL,0.0
NMIA,BUSV,DOMINICA,MAY,0.0
NMIA,BUSV,DOMINICA,JUNE,0.0
NMIA,BUSV,DOMINICA,JULY,0.0
NMIA,BUSV,DOMINICA,AUGUST,0.0
NMIA,BUSV,DOMINICA,SEPTEMBER,0.0
NMIA,BUSV,DOMINICA,OCTOBER,0.0
NMIA,BUSV,DOMINICA,NOVEMBER,0.0
NMIA,BUSV,DOMINICA,DECEMBER,0.0
NMIA,BUSV,DOMINICAN REPUBLIC,JANUARY,0.0
NMIA,BUSV,DOMINICAN REPUBLIC,FEBRUARY,0.0
NMIA,BUSV,DOMINICAN REPUBLIC,MARCH,0.0
NMIA,BUSV,DOMINICAN REPUBLIC,APRIL,0.0
NMIA,BUSV,DOMINICAN REPUBLIC,MAY,0.0
NMIA,BUSV,DOMINICAN REPUBLIC,JUNE,0.0
NMIA,BUSV,DOMINICAN REPUBLIC,JULY,1.0
NMIA,BUSV,DOMINICAN REPUBLIC,AUGUST,0.0
NMIA,BUSV,DOMINICAN REPUBLIC,SEPTEMBER,0.0
NMIA,BUSV,DOMINICAN REPUBLIC,OCTOBER,0.0
NMIA,BUSV,DOMINICAN REPUBLIC,NOVEMBER,0.0
NMIA,BUSV,DOMINICAN REPUBLIC,DECEMBER,0.0
NMIA,BUSV,FRANCE,JANUARY,0.0
NMIA,BUSV,FRANCE,FEBRUARY,0.0
NMIA,BUSV,FRANCE,MARCH,0.0
NMIA,BUSV,FRANCE,APRIL,2.0
NMIA,BUSV,FRANCE,MAY,0.0
NMIA,BUSV,FRANCE,JUNE,0.0
NMIA,BUSV,FRANCE,JULY,0.0
NMIA,BUSV,FRANCE,AUGUST,0.0
NMIA,BUSV,FRANCE,SEPTEMBER,1.0
NMIA,BUSV,FRANCE,OCTOBER,0.0
NMIA,BUSV,FRANCE,NOVEMBER,0.0
NMIA,BUSV,FRANCE,DECEMBER,0.0
NMIA,BUSV,GRENADA,JANUARY,2.0
NMIA,BUSV,GRENADA,FEBRUARY,0.0
NMIA,BUSV,GRENADA,MARCH,0.0
NMIA,BUSV,GRENADA,APRIL,0.0
NMIA,BUSV,GRENADA,MAY,0.0
NMIA,BUSV,GRENADA,JUNE,0.0
NMIA,BUSV,GRENADA,JULY,0.0
NMIA,BUSV,GRENADA,AUGUST,0.0
NMIA,BUSV,GRENADA,SEPTEMBER,0.0
NMIA,BUSV,GRENADA,OCTOBER,0.0
NMIA,BUSV,GRENADA,NOVEMBER,0.0
NMIA,BUSV,GRENADA,DECEMBER,0.0
NMIA,BUSV,GUATEMALA,JANUARY,0.0
NMIA,BUSV,GUATEMALA,FEBRUARY,1.0
NMIA,BUSV,GUATEMALA,MARCH,0.0
NMIA,BUSV,GUATEMALA,APRIL,1.0
NMIA,BUSV,GUATEMALA,MAY,0.0
NMIA,BUSV,GUATEMALA,JUNE,0.0
NMIA,BUSV,GUATEMALA,JULY,0.0
NMIA,BUSV,GUATEMALA,AUGUST,0.0
NMIA,BUSV,GUATEMALA,SEPTEMBER,0.0
NMIA,BUSV,GUATEMALA,OCTOBER,0.0
NMIA,BUSV,GUATEMALA,NOVEMBER,0.0
NMIA,BUSV,GUATEMALA,DECEMBER,0.0
NMIA,BUSV,GUYANA,JANUARY,0.0
NMIA,BUSV,GUYANA,FEBRUARY,0.0
NMIA,BUSV,GUYANA,MARCH,1.0
NMIA,BUSV,GUYANA,APRIL,1.0
NMIA,BUSV,GUYANA,MAY,1.0
NMIA,BUSV,GUYANA,JUNE,0.0
NMIA,BUSV,GUYANA,JULY,0.0
NMIA,BUSV,GUYANA,AUGUST,0.0
NMIA,BUSV,GUYANA,SEPTEMBER,0.0
NMIA,BUSV,GUYANA,OCTOBER,0.0
NMIA,BUSV,GUYANA,NOVEMBER,0.0
NMIA,BUSV,GUYANA,DECEMBER,0.0
NMIA,BUSV,HOLLAND,JANUARY,0.0
NMIA,BUSV,HOLLAND,FEBRUARY,1.0
NMIA,BUSV,HOLLAND,MARCH,0.0
NMIA,BUSV,HOLLAND,APRIL,0.0
NMIA,BUSV,HOLLAND,MAY,1.0
NMIA,BUSV,HOLLAND,JUNE,0.0
NMIA,BUSV,HOLLAND,JULY,0.0
NMIA,BUSV,HOLLAND,AUGUST,0.0
NMIA,BUSV,HOLLAND,SEPTEMBER,0.0
NMIA,BUSV,HOLLAND,OCTOBER,0.0
NMIA,BUSV,HOLLAND,NOVEMBER,0.0
NMIA,BUSV,HOLLAND,DECEMBER,0.0
NMIA,BUSV,HONDURAS,JANUARY,0.0
NMIA,BUSV,HONDURAS,FEBRUARY,0.0
NMIA,BUSV,HONDURAS,MARCH,0.0
NMIA,BUSV,HONDURAS,APRIL,1.0
NMIA,BUSV,HONDURAS,MAY,0.0
NMIA,BUSV,HONDURAS,JUNE,0.0
NMIA,BUSV,HONDURAS,JULY,0.0
NMIA,BUSV,HONDURAS,AUGUST,0.0
NMIA,BUSV,HONDURAS,SEPTEMBER,0.0
NMIA,BUSV,HONDURAS,OCTOBER,0.0
NMIA,BUSV,HONDURAS,NOVEMBER,0.0
NMIA,BUSV,HONDURAS,DECEMBER,0.0
NMIA,BUSV,INDIA,JANUARY,3.0
NMIA,BUSV,INDIA,FEBRUARY,0.0
NMIA,BUSV,INDIA,MARCH,1.0
NMIA,BUSV,INDIA,APRIL,0.0
NMIA,BUSV,INDIA,MAY,0.0
NMIA,BUSV,INDIA,JUNE,0.0
NMIA,BUSV,INDIA,JULY,0.0
NMIA,BUSV,INDIA,AUGUST,0.0
NMIA,BUSV,INDIA,SEPTEMBER,0.0
NMIA,BUSV,INDIA,OCTOBER,0.0
NMIA,BUSV,INDIA,NOVEMBER,0.0
NMIA,BUSV,INDIA,DECEMBER,0.0
NMIA,BUSV,ITALY,JANUARY,0.0
NMIA,BUSV,ITALY,FEBRUARY,0.0
NMIA,BUSV,ITALY,MARCH,0.0
NMIA,BUSV,ITALY,APRIL,1.0
NMIA,BUSV,ITALY,MAY,1.0
NMIA,BUSV,ITALY,JUNE,0.0
NMIA,BUSV,ITALY,JULY,0.0
NMIA,BUSV,ITALY,AUGUST,0.0
NMIA,BUSV,ITALY,SEPTEMBER,0.0
NMIA,BUSV,ITALY,OCTOBER,0.0
NMIA,BUSV,ITALY,NOVEMBER,0.0
NMIA,BUSV,ITALY,DECEMBER,0.0
NMIA,BUSV,MEXICO,JANUARY,3.0
NMIA,BUSV,MEXICO,FEBRUARY,0.0
NMIA,BUSV,MEXICO,MARCH,1.0
NMIA,BUSV,MEXICO,APRIL,0.0
NMIA,BUSV,MEXICO,MAY,1.0
NMIA,BUSV,MEXICO,JUNE,0.0
NMIA,BUSV,MEXICO,JULY,0.0
NMIA,BUSV,MEXICO,AUGUST,1.0
NMIA,BUSV,MEXICO,SEPTEMBER,1.0
NMIA,BUSV,MEXICO,OCTOBER,0.0
NMIA,BUSV,MEXICO,NOVEMBER,0.0
NMIA,BUSV,MEXICO,DECEMBER,0.0
NMIA,BUSV,OTHER EUROPE,JANUARY,0.0
NMIA,BUSV,OTHER EUROPE,FEBRUARY,0.0
NMIA,BUSV,OTHER EUROPE,MARCH,0.0
NMIA,BUSV,OTHER EUROPE,APRIL,0.0
NMIA,BUSV,OTHER EUROPE,MAY,2.0
NMIA,BUSV,OTHER EUROPE,JUNE,0.0
NMIA,BUSV,OTHER EUROPE,JULY,0.0
NMIA,BUSV,OTHER EUROPE,AUGUST,0.0
NMIA,BUSV,OTHER EUROPE,SEPTEMBER,0.0
NMIA,BUSV,OTHER EUROPE,OCTOBER,0.0
NMIA,BUSV,OTHER EUROPE,NOVEMBER,0.0
NMIA,BUSV,OTHER EUROPE,DECEMBER,0.0
NMIA,BUSV,PANAMA,JANUARY,3.0
NMIA,BUSV,PANAMA,FEBRUARY,0.0
NMIA,BUSV,PANAMA,MARCH,0.0
NMIA,BUSV,PANAMA,APRIL,1.0
NMIA,BUSV,PANAMA,MAY,0.0
NMIA,BUSV,PANAMA,JUNE,1.0
NMIA,BUSV,PANAMA,JULY,0.0
NMIA,BUSV,PANAMA,AUGUST,0.0
NMIA,BUSV,PANAMA,SEPTEMBER,0.0
NMIA,BUSV,PANAMA,OCTOBER,2.0
NMIA,BUSV,PANAMA,NOVEMBER,0.0
NMIA,BUSV,PANAMA,DECEMBER,0.0
NMIA,BUSV,PERU,JANUARY,0.0
NMIA,BUSV,PERU,FEBRUARY,0.0
NMIA,BUSV,PERU,MARCH,0.0
NMIA,BUSV,PERU,APRIL,0.0
NMIA,BUSV,PERU,MAY,1.0
NMIA,BUSV,PERU,JUNE,0.0
NMIA,BUSV,PERU,JULY,0.0
NMIA,BUSV,PERU,AUGUST,0.0
NMIA,BUSV,PERU,SEPTEMBER,0.0
NMIA,BUSV,PERU,OCTOBER,0.0
NMIA,BUSV,PERU,NOVEMBER,0.0
NMIA,BUSV,PERU,DECEMBER,0.0
NMIA,BUSV,PHILIPPINES,JANUARY,0.0
NMIA,BUSV,PHILIPPINES,FEBRUARY,0.0
NMIA,BUSV,PHILIPPINES,MARCH,0.0
NMIA,BUSV,PHILIPPINES,APRIL,0.0
NMIA,BUSV,PHILIPPINES,MAY,0.0
NMIA,BUSV,PHILIPPINES,JUNE,0.0
NMIA,BUSV,PHILIPPINES,JULY,0.0
NMIA,BUSV,PHILIPPINES,AUGUST,0.0
NMIA,BUSV,PHILIPPINES,SEPTEMBER,0.0
NMIA,BUSV,PHILIPPINES,OCTOBER,1.0
NMIA,BUSV,PHILIPPINES,NOVEMBER,0.0
NMIA,BUSV,PHILIPPINES,DECEMBER,0.0
NMIA,BUSV,POLAND,JANUARY,0.0
NMIA,BUSV,POLAND,FEBRUARY,0.0
NMIA,BUSV,POLAND,MARCH,0.0
NMIA,BUSV,POLAND,APRIL,0.0
NMIA,BUSV,POLAND,MAY,1.0
NMIA,BUSV,POLAND,JUNE,0.0
NMIA,BUSV,POLAND,JULY,0.0
NMIA,BUSV,POLAND,AUGUST,0.0
NMIA,BUSV,POLAND,SEPTEMBER,0.0
NMIA,BUSV,POLAND,OCTOBER,0.0
NMIA,BUSV,POLAND,NOVEMBER,0.0
NMIA,BUSV,POLAND,DECEMBER,0.0
NMIA,BUSV,PORTUGAL,JANUARY,1.0
NMIA,BUSV,PORTUGAL,FEBRUARY,0.0
NMIA,BUSV,PORTUGAL,MARCH,0.0
NMIA,BUSV,PORTUGAL,APRIL,0.0
NMIA,BUSV,PORTUGAL,MAY,0.0
NMIA,BUSV,PORTUGAL,JUNE,0.0
NMIA,BUSV,PORTUGAL,JULY,0.0
NMIA,BUSV,PORTUGAL,AUGUST,0.0
NMIA,BUSV,PORTUGAL,SEPTEMBER,0.0
NMIA,BUSV,PORTUGAL,OCTOBER,0.0
NMIA,BUSV,PORTUGAL,NOVEMBER,0.0
NMIA,BUSV,PORTUGAL,DECEMBER,0.0
NMIA,BUSV,SPAIN,JANUARY,0.0
NMIA,BUSV,SPAIN,FEBRUARY,0.0
NMIA,BUSV,SPAIN,MARCH,0.0
NMIA,BUSV,SPAIN,APRIL,0.0
NMIA,BUSV,SPAIN,MAY,0.0
NMIA,BUSV,SPAIN,JUNE,0.0
NMIA,BUSV,SPAIN,JULY,0.0
NMIA,BUSV,SPAIN,AUGUST,0.0
NMIA,BUSV,SPAIN,SEPTEMBER,0.0
NMIA,BUSV,SPAIN,OCTOBER,1.0
NMIA,BUSV,SPAIN,NOVEMBER,0.0
NMIA,BUSV,SPAIN,DECEMBER,0.0
NMIA,BUSV,ST. KITTS/NEVIS/ANGUILLA,JANUARY,2.0
NMIA,BUSV,ST. KITTS/NEVIS/ANGUILLA,FEBRUARY,1.0
NMIA,BUSV,ST. KITTS/NEVIS/ANGUILLA,MARCH,0.0
NMIA,BUSV,ST. KITTS/NEVIS/ANGUILLA,APRIL,0.0
NMIA,BUSV,ST. KITTS/NEVIS/ANGUILLA,MAY,0.0
NMIA,BUSV,ST. KITTS/NEVIS/ANGUILLA,JUNE,0.0
NMIA,BUSV,ST. KITTS/NEVIS/ANGUILLA,JULY,0.0
NMIA,BUSV,ST. KITTS/NEVIS/ANGUILLA,AUGUST,2.0
NMIA,BUSV,ST. KITTS/NEVIS/ANGUILLA,SEPTEMBER,0.0
NMIA,BUSV,ST. KITTS/NEVIS/ANGUILLA,OCTOBER,0.0
NMIA,BUSV,ST. KITTS/NEVIS/ANGUILLA,NOVEMBER,0.0
NMIA,BUSV,ST. KITTS/NEVIS/ANGUILLA,DECEMBER,0.0
NMIA,BUSV,ST. MAARTEN,JANUARY,0.0
NMIA,BUSV,ST. MAARTEN,FEBRUARY,0.0
NMIA,BUSV,ST. MAARTEN,MARCH,0.0
NMIA,BUSV,ST. MAARTEN,APRIL,1.0
NMIA,BUSV,ST. MAARTEN,MAY,0.0
NMIA,BUSV,ST. MAARTEN,JUNE,0.0
NMIA,BUSV,ST. MAARTEN,JULY,0.0
NMIA,BUSV,ST. MAARTEN,AUGUST,0.0
NMIA,BUSV,ST. MAARTEN,SEPTEMBER,0.0
NMIA,BUSV,ST. MAARTEN,OCTOBER,0.0
NMIA,BUSV,ST. MAARTEN,NOVEMBER,0.0
NMIA,BUSV,ST. MAARTEN,DECEMBER,0.0
NMIA,BUSV,ST. VINCENT,JANUARY,1.0
NMIA,BUSV,ST. VINCENT,FEBRUARY,0.0
NMIA,BUSV,ST. VINCENT,MARCH,0.0
NMIA,BUSV,ST. VINCENT,APRIL,0.0
NMIA,BUSV,ST. VINCENT,MAY,0.0
NMIA,BUSV,ST. VINCENT,JUNE,0.0
NMIA,BUSV,ST. VINCENT,JULY,0.0
NMIA,BUSV,ST. VINCENT,AUGUST,0.0
NMIA,BUSV,ST. VINCENT,SEPTEMBER,0.0
NMIA,BUSV,ST. VINCENT,OCTOBER,0.0
NMIA,BUSV,ST. VINCENT,NOVEMBER,0.0
NMIA,BUSV,ST. VINCENT,DECEMBER,0.0
NMIA,BUSV,SWEDEN,JANUARY,0.0
NMIA,BUSV,SWEDEN,FEBRUARY,0.0
NMIA,BUSV,SWEDEN,MARCH,0.0
NMIA,BUSV,SWEDEN,APRIL,1.0
NMIA,BUSV,SWEDEN,MAY,0.0
NMIA,BUSV,SWEDEN,JUNE,0.0
NMIA,BUSV,SWEDEN,JULY,0.0
NMIA,BUSV,SWEDEN,AUGUST,0.0
NMIA,BUSV,SWEDEN,SEPTEMBER,0.0
NMIA,BUSV,SWEDEN,OCTOBER,0.0
NMIA,BUSV,SWEDEN,NOVEMBER,0.0
NMIA,BUSV,SWEDEN,DECEMBER,0.0
NMIA,BUSV,TAIWAN,JANUARY,2.0
NMIA,BUSV,TAIWAN,FEBRUARY,0.0
NMIA,BUSV,TAIWAN,MARCH,0.0
NMIA,BUSV,TAIWAN,APRIL,0.0
NMIA,BUSV,TAIWAN,MAY,0.0
NMIA,BUSV,TAIWAN,JUNE,0.0
NMIA,BUSV,TAIWAN,JULY,0.0
NMIA,BUSV,TAIWAN,AUGUST,0.0
NMIA,BUSV,TAIWAN,SEPTEMBER,0.0
NMIA,BUSV,TAIWAN,OCTOBER,0.0
NMIA,BUSV,TAIWAN,NOVEMBER,0.0
NMIA,BUSV,TAIWAN,DECEMBER,0.0
NMIA,BUSV,TRINIDAD & TOBAGO,JANUARY,4.0
NMIA,BUSV,TRINIDAD & TOBAGO,FEBRUARY,0.0
NMIA,BUSV,TRINIDAD & TOBAGO,MARCH,2.0
NMIA,BUSV,TRINIDAD & TOBAGO,APRIL,1.0
NMIA,BUSV,TRINIDAD & TOBAGO,MAY,1.0
NMIA,BUSV,TRINIDAD & TOBAGO,JUNE,0.0
NMIA,BUSV,TRINIDAD & TOBAGO,JULY,0.0
NMIA,BUSV,TRINIDAD & TOBAGO,AUGUST,0.0
NMIA,BUSV,TRINIDAD & TOBAGO,SEPTEMBER,0.0
NMIA,BUSV,TRINIDAD & TOBAGO,OCTOBER,0.0
NMIA,BUSV,TRINIDAD & TOBAGO,NOVEMBER,0.0
NMIA,BUSV,TRINIDAD & TOBAGO,DECEMBER,0.0
NMIA,BUSV,TURKS & CAICOS ISLANDS,JANUARY,0.0
NMIA,BUSV,TURKS & CAICOS ISLANDS,FEBRUARY,0.0
NMIA,BUSV,TURKS & CAICOS ISLANDS,MARCH,0.0
NMIA,BUSV,TURKS & CAICOS ISLANDS,APRIL,0.0
NMIA,BUSV,TURKS & CAICOS ISLANDS,MAY,1.0
NMIA,BUSV,TURKS & CAICOS ISLANDS,JUNE,0.0
NMIA,BUSV,TURKS & CAICOS ISLANDS,JULY,0.0
NMIA,BUSV,TURKS & CAICOS ISLANDS,AUGUST,0.0
NMIA,BUSV,TURKS & CAICOS ISLANDS,SEPTEMBER,0.0
NMIA,BUSV,TURKS & CAICOS ISLANDS,OCTOBER,0.0
NMIA,BUSV,TURKS & CAICOS ISLANDS,NOVEMBER,0.0
NMIA,BUSV,TURKS & CAICOS ISLANDS,DECEMBER,0.0
NMIA,BUSV,U.S.A.,JANUARY,65.0
NMIA,BUSV,U.S.A.,FEBRUARY,66.0
NMIA,BUSV,U.S.A.,MARCH,75.0
NMIA,BUSV,U.S.A.,APRIL,66.0
NMIA,BUSV,U.S.A.,MAY,63.0
NMIA,BUSV,U.S.A.,JUNE,9.0
NMIA,BUSV,U.S.A.,JULY,4.0
NMIA,BUSV,U.S.A.,AUGUST,2.0
NMIA,BUSV,U.S.A.,SEPTEMBER,1.0
NMIA,BUSV,U.S.A.,OCTOBER,6.0
NMIA,BUSV,U.S.A.,NOVEMBER,2.0
NMIA,BUSV,U.S.A.,DECEMBER,0.0
NMIA,BUSV,UNITED KINGDOM,JANUARY,15.0
NMIA,BUSV,UNITED KINGDOM,FEBRUARY,11.0
NMIA,BUSV,UNITED KINGDOM,MARCH,8.0
NMIA,BUSV,UNITED KINGDOM,APRIL,13.0
NMIA,BUSV,UNITED KINGDOM,MAY,14.0
NMIA,BUSV,UNITED KINGDOM,JUNE,2.0
NMIA,BUSV,UNITED KINGDOM,JULY,1.0
NMIA,BUSV,UNITED KINGDOM,AUGUST,0.0
NMIA,BUSV,UNITED KINGDOM,SEPTEMBER,1.0
NMIA,BUSV,UNITED KINGDOM,OCTOBER,0.0
NMIA,BUSV,UNITED KINGDOM,NOVEMBER,0.0
NMIA,BUSV,UNITED KINGDOM,DECEMBER,1.0
NMIA,BUSV,VENEZUELA,JANUARY,0.0
NMIA,BUSV,VENEZUELA,FEBRUARY,0.0
NMIA,BUSV,VENEZUELA,MARCH,0.0
NMIA,BUSV,VENEZUELA,APRIL,0.0
NMIA,BUSV,VENEZUELA,MAY,1.0
NMIA,BUSV,VENEZUELA,JUNE,0.0
NMIA,BUSV,VENEZUELA,JULY,0.0
NMIA,BUSV,VENEZUELA,AUGUST,0.0
NMIA,BUSV,VENEZUELA,SEPTEMBER,0.0
NMIA,BUSV,VENEZUELA,OCTOBER,0.0
NMIA,BUSV,VENEZUELA,NOVEMBER,0.0
NMIA,BUSV,VENEZUELA,DECEMBER,0.0
NMIA,CON,NOREF,JANUARY,7.0
NMIA,CON,NOREF,FEBRUARY,4.0
NMIA,CON,NOREF,MARCH,4.0
NMIA,CON,NOREF,APRIL,5.0
NMIA,CON,NOREF,MAY,4.0
NMIA,CON,NOREF,JUNE,8.0
NMIA,CON,NOREF,JULY,1.0
NMIA,CON,NOREF,AUGUST,0.0
NMIA,CON,NOREF,SEPTEMBER,0.0
NMIA,CON,NOREF,OCTOBER,0.0
NMIA,CON,NOREF,NOVEMBER,0.0
NMIA,CON,NOREF,DECEMBER,1.0
NMIA,CON,AFRICA,JANUARY,4.0
NMIA,CON,AFRICA,FEBRUARY,8.0
NMIA,CON,AFRICA,MARCH,6.0
NMIA,CON,AFRICA,APRIL,3.0
NMIA,CON,AFRICA,MAY,5.0
NMIA,CON,AFRICA,JUNE,1.0
NMIA,CON,AFRICA,JULY,2.0
NMIA,CON,AFRICA,AUGUST,0.0
NMIA,CON,AFRICA,SEPTEMBER,0.0
NMIA,CON,AFRICA,OCTOBER,3.0
NMIA,CON,AFRICA,NOVEMBER,2.0
NMIA,CON,AFRICA,DECEMBER,1.0
NMIA,CON,ANTIGUA,JANUARY,8.0
NMIA,CON,ANTIGUA,FEBRUARY,14.0
NMIA,CON,ANTIGUA,MARCH,6.0
NMIA,CON,ANTIGUA,APRIL,13.0
NMIA,CON,ANTIGUA,MAY,12.0
NMIA,CON,ANTIGUA,JUNE,7.0
NMIA,CON,ANTIGUA,JULY,8.0
NMIA,CON,ANTIGUA,AUGUST,1.0
NMIA,CON,ANTIGUA,SEPTEMBER,0.0
NMIA,CON,ANTIGUA,OCTOBER,0.0
NMIA,CON,ANTIGUA,NOVEMBER,4.0
NMIA,CON,ANTIGUA,DECEMBER,0.0
NMIA,CON,ARGENTINA,JANUARY,3.0
NMIA,CON,ARGENTINA,FEBRUARY,5.0
NMIA,CON,ARGENTINA,MARCH,12.0
NMIA,CON,ARGENTINA,APRIL,5.0
NMIA,CON,ARGENTINA,MAY,0.0
NMIA,CON,ARGENTINA,JUNE,0.0
NMIA,CON,ARGENTINA,JULY,0.0
NMIA,CON,ARGENTINA,AUGUST,0.0
