Port of Entry,Type of Visit,Origin,Month,Number of Visitors
NMIA,WED,BELGIUM,FEBRUARY,0.0
NMIA,WED,BELGIUM,MARCH,0.0
NMIA,WED,BELGIUM,APRIL,2.0
NMIA,WED,BELGIUM,MAY,0.0
NMIA,WED,BELGIUM,JUNE,0.0
NMIA,WED,BELGIUM,JULY,0.0
NMIA,WED,BELGIUM,AUGUST,0.0
NMIA,WED,BELGIUM,SEPTEMBER,0.0
NMIA,WED,BELGIUM,OCTOBER,0.0
NMIA,WED,BELGIUM,NOVEMBER,0.0
NMIA,WED,BELGIUM,DECEMBER,0.0
NMIA,WED,BELIZE,JANUARY,0.0
NMIA,WED,BELIZE,FEBRUARY,0.0
NMIA,WED,BELIZE,MARCH,0.0
NMIA,WED,BELIZE,APRIL,0.0
NMIA,WED,BELIZE,MAY,0.0
NMIA,WED,BELIZE,JUNE,0.0
NMIA,WED,BELIZE,JULY,1.0
NMIA,WED,BELIZE,AUGUST,0.0
NMIA,WED,BELIZE,SEPTEMBER,0.0
NMIA,WED,BELIZE,OCTOBER,3.0
NMIA,WED,BELIZE,NOVEMBER,3.0
NMIA,WED,BELIZE,DECEMBER,8.0
NMIA,WED,BERMUDA,JANUARY,0.0
NMIA,WED,BERMUDA,FEBRUARY,3.0
NMIA,WED,BERMUDA,MARCH,0.0
NMIA,WED,BERMUDA,APRIL,0.0
NMIA,WED,BERMUDA,MAY,0.0
NMIA,WED,BERMUDA,JUNE,0.0
NMIA,WED,BERMUDA,JULY,9.0
NMIA,WED,BERMUDA,AUGUST,1.0
NMIA,WED,BERMUDA,SEPTEMBER,0.0
NMIA,WED,BERMUDA,OCTOBER,5.0
NMIA,WED,BERMUDA,NOVEMBER,0.0
NMIA,WED,BERMUDA,DECEMBER,3.0
NMIA,WED,BRAZIL,JANUARY,3.0
NMIA,WED,BRAZIL,FEBRUARY,4.0
NMIA,WED,BRAZIL,MARCH,0.0
NMIA,WED,BRAZIL,APRIL,0.0
NMIA,WED,BRAZIL,MAY,3.0
NMIA,WED,BRAZIL,JUNE,2.0
NMIA,WED,BRAZIL,JULY,5.0
NMIA,WED,BRAZIL,AUGUST,2.0
NMIA,WED,BRAZIL,SEPTEMBER,1.0
NMIA,WED,BRAZIL,OCTOBER,3.0
NMIA,WED,BRAZIL,NOVEMBER,5.0
NMIA,WED,BRAZIL,DECEMBER,2.0
NMIA,WED,BRITISH VIRGIN ISLANDS,JANUARY,1.0
NMIA,WED,BRITISH VIRGIN ISLANDS,FEBRUARY,0.0
NMIA,WED,BRITISH VIRGIN ISLANDS,MARCH,1.0
NMIA,WED,BRITISH VIRGIN ISLANDS,APRIL,0.0
NMIA,WED,BRITISH VIRGIN ISLANDS,MAY,2.0
NMIA,WED,BRITISH VIRGIN ISLANDS,JUNE,5.0
